№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
2890,Троллейбус,Остановка,"Ст. метро ""Политехническая""","Ст. метро ""Политехническая""","Политехническая улица, улица Курчатова","13, 21, 4","60.0084423644226,30.3694878"
2891,Троллейбус,Остановка,Ул. Комсомола,Ул. Комсомола,"Комсомола ул., Арсенальная ул","3, 38, 43, 8","59.9560745631987,30.372509"
2892,Троллейбус,Остановка,"Гражданский пр., 90","Гражданский пр., 90",Гражданский проспект,"21, 31, 6","60.0174854053234,30.4022827"
2893,Троллейбус,Остановка,Детская областная больница,Детская областная больница,"улица Комсомола, Арсенальная набережная","3, 38, 43, 8","59.954826375203,30.3665543"
2894,Троллейбус,Остановка,Ул. Михайлова,Ул. Михайлова,"улица Комсомола, улица Михайлова","3, 38, 43, 8","59.9545322747495,30.3625679"
2895,Троллейбус,Остановка,"Финляндский вокзал. Ст. метро ""Площадь Ленина""","Финляндский вокзал. Ст. метро ""Площадь Ленина""","улица Комсомола, площадь Ленина","3, 8","59.955486381836,30.353487"
2896,Троллейбус,Остановка,"Ст. метро ""Спортивная""","Ст. метро ""Спортивная""","Добролюбова, Блохина",7,"59.9518100117889,30.292614"
2897,Троллейбус,Остановка,"Ст. метро ""Академическая""","Ст. метро ""Академическая""","Гражданский проспект, проспект Науки","21, 31, 6","60.0126723165814,30.3971634"
2898,Троллейбус,Остановка,Ул. Чайковского,Ул. Чайковского,"Литейный проспект, улица Чайковского","3, 8","59.9470455135397,30.3486099"
2899,Троллейбус,Остановка,Ул. Пестеля,Ул. Пестеля,"Литейный проспект, улица Пестеля","12, 15, 3, 8","59.9425369083352,30.3483372"
2900,Троллейбус,Остановка,"Стадион ""Петровский""","Стадион ""Петровский""","Ждановская улица, Ждановская набережная",7,"59.9543886433469,30.2860432"
2901,Троллейбус,Остановка,"Парк ""Сосновка""","Парк ""Сосновка""","Тихорецкий проспект, аллея Академика Глушко","21, 4","60.0255807368955,30.3663998"
2902,Троллейбус,Остановка,Ул. Некрасова,Ул. Некрасова,"Литейный проспект, улица Короленко","12, 15, 3, 8","59.940289218316,30.3481979"
2903,Троллейбус,Остановка,Ул. Академика Байкова,Ул. Академика Байкова,"Тихорецкий проспект, улица Академика Байкова","21, 4","60.0293205745147,30.3656139"
2904,Троллейбус,Остановка,Ул. Жуковского,Ул. Жуковского,"Литейный проспект, улица Жуковского","12, 15, 3, 8","59.9370046484174,30.3480091"
2905,Троллейбус,Остановка,Невский пр,Невский пр,"Литейный проспект, Невский проспект","12, 15, 3, 8","59.9334288874017,30.3477631"
2906,Троллейбус,Остановка,Пр. Луначарского,Пр. Луначарского,"проспект Луначарского, проспект Культуры",4,"60.0364407920668,30.3654099"
2907,Троллейбус,Остановка,Асфальтобетонный завод,Асфальтобетонный завод,Арсенальная улица,"43, 8","59.9604172071237,30.3695183"
2908,Троллейбус,Остановка,Новоладожская ул,Новоладожская ул,"Ждановская, Новоладожская",7,"59.96068732129,30.2739868"
2909,Троллейбус,Остановка,Владимирская пл,Владимирская пл,"Владимирский проспект, Большая Московская улица","12, 15, 3, 8","59.9283434571085,30.3469925"
2910,Троллейбус,Остановка,Ул. Верности,Ул. Верности,"Гражданский проспект, улица Верности","21, 31, 6","60.0093368788399,30.3937817"
